"","expression"
"1269","1.32 percent"
"1270","74.8 percent"
"1271","59.13 percent"
"1272","13.83 percent"
"1273","4.15 percentage points"
"1274","43.5 percent"
"1275","40.4 percent"
"1276","40 percentage points"
"1277","10.36 percent"
"1278","six percentage points"
"1279","1.61 percent"
"1280","2.52 percent"
"1281","332 percent"
"1282","2.64 percent"
"1283","2.45 percent"
"1284","2.73 percent"
"1285","10-15 percentage points"
"1286","Seventeen percent"
"1287","22%"
"1288","98.9 percent"
"1289","99.8 percent"
"1290","68.5 percent"
"1291","85.9 percent"
"1292","92.2 percent"
"1293","94.2 percent"
"1294","Zero percent"
"1295","0.29 percentage points"
"1296","115 percent"
"1297","14.85%"
"1298","11.35 percent"
"1299","14.47 percent"
"1300","3.11 percent"
"1301","2.71 percent"
"1302","0.86 percent"
"1303","2.30 percent"
"1304","6.99 percent"
"1305","15.91 percent"
"1306","3.03 percent"
"1307","5.50 percent"
"1308","0.10 percent"
"1309","4.20 percent"
"1310","14.81 percent"
"1311","20.06 percent"
"1312","ten percentage points"
"1313","Fifty-two percent"
"1314","28.5 percent"
"1315","quarter percentage point"
"1316","1 percentage points"
"1317","owns30.4 percent"
"1318","12 percentage points"
"1319","5-6 percent"
"1320","-digit percent"
"1321","72.9 percent"
"1322","couple percent"
"1323","Nineteen percent"
"1324","0.03 percentage points"
"1325","to25%"
"1326","457 percent"
"1327","0.69 percent"
"1328","260 percent"
"1329","20 percentage points"
"1330","1.6-1.7 percent"
"1331","Mac.Zero percent"
"1332","8.375 percent"
"1333","84 percent"
"1334","40%"
"1335","1000 percent"
"1336","19.0 percent"
"1337","23.0 percent"
"1338","35.8 percent"
"1339","22.7 percent"
"1340","monthly percent"
"1341","180 percent"
"1342","8.31 percent"
"1343","0.57 percent"
"1344","29.2 percent"
"1345","163.4 percent"
"1346","15-25 percent"
"1347","3.3 percentage points"
"1348","Fifty-five percent"
"1349","twenty percent"
"1350","500 percent"
"1351","2.66 percent"
"1352","0.13 percent"
"1353","38.6 percent"
"1354","14.46 percent"
"1355","13.17 percent"
"1356","1.21 percent"
"1357","31.97 percent"
"1358","82.9 percent"
"1359","fifty percent"
"1360","18%"
"1361","50-60 percent"
"1362","85-80 percent"
"1363","that percent"
"1364","41.3% percent"
"1365","150 percent"
"1366","0.83 percentage point"
"1367","1.34%"
"1368","1.08%"
"1369","portion47 percent"
"1370","32.3 percent"
"1371","-80%"
"1372","8.2%"
"1373","9.44 percent"
"1374","1.04 percent"
"1375","3.24 percent"
"1376","a16 percent"
"1377","258 percent"
"1378","0.81 percent"
"1379","1.16 percent"
"1380","6.90 percent"
"1381","6.46 percent"
"1382","18.19 percent"
"1383","Ninety-two percent"
"1384","Ninety-one percent"
"1385","3.2% percent"
"1386","3.75 percent"
"1387","49.4 percent"
"1388",",eighty percent"
"1389","37 percentage points"
"1390","23 percentage points"
"1391","3/4 percentage point"
"1392","many percent"
"1393","4,100 percent"
"1394","21.15 percent"
"1395","25.6 percent"
"1396","143 percent"
"1397","213 percent"
"1398","571 percent"
"1399","16.87 percent"
"1400","10.40 percent"
"1401","22.81 percent"
"1402","12.94 percent"
"1403","21.36 percent"
"1404","26.29 percent"
"1405","21.13 percent"
"1406","8.4%"
"1407","spent70 percent"
"1408","5%"
"1409","another percentage point"
"1410","in percent"
"1411","actual percent"
"1412","five percentage points"
"1413","34.0 percent"
"1414","3.25 percent"
"1415","percent/40 percent"
"1416","2.20 percent"
"1417","1.6%"
"1418","2.6%"
"1419","2.7%"
"1420","2.1 percentage points"
"1421","3%"
"1422","3.5%"
"1423","3.5-4%"
"1424","8,000 percent"
"1425","8.66 percent"
"1426","1.89 percent"
"1427","81.08 percent"
"1428","0.84 percent"
"1429","0.8 percentage points"
"1430","8%"
"1431","5,000 percent"
"1432","2.0%"
"1433","22.2 percentage points"
"1434","0.25-0.5 percentage point"
"1435","4.63 percent"
"1436","188 percent"
"1437","8.84 percent"
"1438","homeowner percent"
"1439","household percent"
"1440","as percent"
"1441","0.04 percentage points"
"1442","3.7 percentage points"
"1443","43.9 percentage points"
"1444","17.8 percent"
"1445","4,847%"
"1446","total,80 percent"
"1447","seven percentage points"
"1448","98.5 percent"
"1449","21.1 percent"
"1450","19.4 percent"
"1451","33.1 percent"
"1452","13.28 percentage points"
"1453","122 percent"
"1454","132 percent"
"1455","2.86 percent"
"1456","30-40 percent"
"1457","4.8% percent"
"1458","%1.5%"
"1459","56.1 percent"
"1460","15.02 percent"
"1461","6.33 percent"
"1462","2.92 percent"
"1463","5.25 percent"
"1464","136 percent"
"1465","1.7 percentage point"
"1466","was3.6 percent"
"1467","7.06 percent"
"1468","5.57 percent"
"1469","0.24 percent"
"1470","one-tenth percent"
"1471","4.64 percent"
"1472","4.80 percent"
"1473","190 percent"
"1474","7.6-7.7 percent"
"1475","346 percent"
"1476","2.54 percentage points"
"1477","Each percentage point"
"1478","33.5 percent"
"1479","0.76 percentage points"
"1480","9.25 percent"
"1481","56.2 percent"
"1482","3,000 percent"
"1483","35-40 percent"
"1484","32.5 percent"
"1485","11-13 percent"
"1486","56.7 percent"
"1487","3.35 percent"
